,Stage,Date,Distance,Origin,Destination,Type,Winner,Winner_Country,Year
252,1,2005-07-02,19.0,Fromentine,Noirmoutier-en-l'Île,Individual Time Trial,David Zabriskie,USA,2005
253,2,2005-07-03,181.5,Challans,Les Essarts,Flat Stage,Tom Boonen,BEL,2005
254,3,2005-07-04,212.5,La Châtaigneraie,Tours,Flat Stage,Tom Boonen,BEL,2005
255,4,2005-07-05,67.5,Tours,Blois,Team Time Trial,Discovery Channel,,2005
256,5,2005-07-06,183.0,Chambord,Montargis,Flat Stage,Robbie McEwen,AUS,2005
257,6,2005-07-07,199.0,Troyes,Nancy,Flat Stage,Lorenzo Bernucci,ITA,2005
258,7,2005-07-08,228.5,Lunéville,Karlsruhe,Flat Stage,Robbie McEwen,AUS,2005
259,8,2005-07-09,231.5,Pforzheim,Gérardmer,Hilly Stage,Pieter Weening,NED,2005
260,9,2005-07-10,171.0,Gérardmer,Mulhouse,Hilly Stage,Michael Rasmussen,DEN,2005
261,10,2005-07-12,177.0,Grenoble,Courchevel,Mountain Stage,Alejandro Valverde,ESP,2005
262,11,2005-07-13,173.0,Courchevel,Briançon,Mountain Stage,Alexander Vinokourov,KAZ,2005
263,12,2005-07-14,187.0,Briançon,Digne-les-Bains,Hilly Stage,David Moncoutié,FRA,2005
264,13,2005-07-15,173.5,Miramas,Montpellier,Flat Stage,Robbie McEwen,AUS,2005
265,14,2005-07-16,220.5,Agde,Ax 3 Domaines,Mountain Stage,Georg Totschnig,AUT,2005
266,15,2005-07-17,205.5,Lézat-sur-Lèze,Saint-Lary-Soulan Pla d'Adet,Mountain Stage,George Hincapie,USA,2005
267,16,2005-07-19,180.5,Mourenx,Pau,Mountain Stage,Óscar Pereiro,ESP,2005
268,17,2005-07-20,239.5,Pau,Revel,Flat Stage,Paolo Savoldelli,ITA,2005
269,18,2005-07-21,189.0,Albi,Mende,Hilly Stage,Marcos Antonio Serrano,ESP,2005
270,19,2005-07-22,153.5,Issoire,Le Puy-en-Velay,Hilly Stage,Giuseppe Guerini,ITA,2005
271,20,2005-07-23,55.5,Saint-Étienne,Saint-Étienne,Individual Time Trial,Lance Armstrong[n 1],USA,2005
272,21,2005-07-24,144.5,Corbeil-Essonnes,Paris,Flat Stage,Alexander Vinokourov,KAZ,2005
273,P,2004-07-03,6.1,Liège,Liège,Individual Time Trial,Fabian Cancellara,SUI,2004
274,1,2004-07-04,202.5,Liège,Charleroi,Flat Stage,Jaan Kirsipuu,EST,2004
275,2,2004-07-05,197.0,Charleroi,Namur,Flat Stage,Robbie McEwen,AUS,2004
276,3,2004-07-06,210.0,Waterloo,Wasquehal,Flat Stage,Jean-Patrick Nazon,FRA,2004
277,4,2004-07-07,64.5,Cambrai,Arras,Team Time Trial,U.S. Postal Service,USA,2004
278,5,2004-07-08,200.5,Amiens,Chartres,Flat Stage,Stuart O'Grady,AUS,2004
279,6,2004-07-09,196.0,Bonneval,Angers,Flat Stage,Tom Boonen,BEL,2004
280,7,2004-07-10,204.5,Châteaubriant,Saint-Brieuc,Flat Stage,Filippo Pozzato,ITA,2004
281,8,2004-07-11,168.0,Lamballe,Quimper,Flat Stage,Thor Hushovd,NOR,2004
282,9,2004-07-13,160.5,Saint-Léonard-de-Noblat,Guéret,Flat Stage,Robbie McEwen,AUS,2004
283,10,2004-07-14,237.0,Limoges,Saint-Flour,Hilly Stage,Richard Virenque,FRA,2004
284,11,2004-07-15,164.0,Saint-Flour,Figeac,Hilly Stage,David Moncoutié,FRA,2004
285,12,2004-07-16,197.5,Castelsarrasin,La Mongie,Mountain Stage,Ivan Basso,ITA,2004
286,13,2004-07-17,205.5,Lannemezan,Plateau de Beille,Mountain Stage,Lance Armstrong[n 1],USA,2004
287,14,2004-07-18,192.5,Carcassonne,Nîmes,Flat Stage,Aitor González,ESP,2004
288,15,2004-07-20,180.5,Valréas,Villard-de-Lans,Mountain Stage,Lance Armstrong[n 1],USA,2004
