,Stage,Date,Distance,Origin,Destination,Type,Winner,Winner_Country,Year
540,11,1992-07-15,249.5,Strasbourg,Mulhouse,Hilly Stage,Laurent Fignon,FRA,1992
541,12,1992-07-16,267.5,Dole,St Gervais,Hilly Stage,Rolf Järmann,SUI,1992
542,13,1992-07-18,254.5,St Gervais,Sestriere,Mountain Stage,Claudio Chiappucci,ITA,1992
543,14,1992-07-19,186.5,Sestriere,Alpe d'Huez,Mountain Stage,Andrew Hampsten,USA,1992
544,15,1992-07-20,198.0,Le Bourg-d'Oisans,Saint-Étienne,Hilly Stage,Franco Chioccioli,ITA,1992
545,16,1992-07-21,212.0,Saint-Étienne,La Bourboule,Hilly Stage,Stephen Roche,IRE,1992
546,17,1992-07-22,189.0,La Bourboule,Montluçon,Flat Stage,Jean-Claude Colotti,FRA,1992
547,18,1992-07-23,212.0,Montluçon,Tours,Flat Stage,Thierry Marie,FRA,1992
548,19,1992-07-24,64.0,Tours,Blois,Individual Time Trial,Miguel Indurain,ESP,1992
549,20,1992-07-25,222.0,Blois,Nanterre,Flat Stage,Peter De Clercq,BEL,1992
550,21,1992-07-26,141.0,La Défense,Paris,Flat Stage,Olaf Ludwig,GER,1992
551,P,1991-07-06,5.4,Lyon,Lyon,Individual Time Trial,Thierry Marie,FRA,1991
552,1,1991-07-07,114.5,Lyon,Lyon,Flat Stage,Djamolidine Abdoujaparov,URS,1991
553,2,1991-07-07,36.5,Bron,Chassieu,Team Time Trial,Ariostea,,1991
554,3,1991-07-08,210.5,Villeurbanne,Dijon,Flat Stage,Etienne De Wilde,BEL,1991
555,4,1991-07-09,286.0,Dijon,Reims,Flat Stage,Djamolidine Abdoujaparov,URS,1991
556,5,1991-07-10,149.5,Reims,Valenciennes,Flat Stage,Jelle Nijdam,NED,1991
557,6,1991-07-11,259.0,Arras,Le Havre,Flat Stage,Thierry Marie,FRA,1991
558,7,1991-07-12,167.0,Le Havre,Argentan,Flat Stage,Jean-Paul van Poppel,NED,1991
559,8,1991-07-13,73.0,Argentan,Alençon,Individual Time Trial,Miguel Indurain,ESP,1991
560,9,1991-07-14,161.0,Alençon,Rennes,Flat Stage,Mauro Ribeiro,BRA,1991
561,10,1991-07-15,207.5,Rennes,Quimper,Flat Stage,Phil Anderson,AUS,1991
562,11,1991-07-16,246.0,Quimper,Saint-Herblain,Flat Stage,Charly Mottet,FRA,1991
563,12,1991-07-18,192.0,Pau,Jaca,Mountain Stage,Charly Mottet,FRA,1991
564,13,1991-07-19,232.0,Jaca,Val-Louron,Mountain Stage,Claudio Chiappucci,ITA,1991
565,14,1991-07-20,172.5,St Gaudens,Castres,Flat Stage,Bruno Cenghialta,ITA,1991
566,15,1991-07-21,235.0,Albi,Ales,Hilly Stage,Moreno Argentin,ITA,1991
567,16,1991-07-22,215.0,Alès,Gap,Flat Stage,Marco Lietti,ITA,1991
568,17,1991-07-23,125.0,Gap,Alpe d'Huez,Mountain Stage,Gianni Bugno,ITA,1991
569,18,1991-07-24,255.0,Le Bourg-d'Oisans,Morzine,Mountain Stage,Thierry Claveyrolat,FRA,1991
570,19,1991-07-25,177.0,Morzine,Aix-les-Bains,Hilly Stage,Dmitri Konychev,URS,1991
571,20,1991-07-26,160.0,Aix-les-Bains,Mâcon,Hilly Stage,Viatcheslav Ekimov,URS,1991
572,21,1991-07-27,57.0,Lugny,Mâcon,Individual Time Trial,Miguel Indurain,ESP,1991
573,22,1991-07-28,178.0,Melun,Paris,Flat Stage,Dmitri Konychev,URS,1991
574,P,1990-06-30,6.3,Futuroscope,Futuroscope,Individual Time Trial,Thierry Marie,FRA,1990
575,1,1990-07-01,138.5,Futuroscope,Futuroscope,Flat Stage,Frans Maassen,NED,1990
576,2,1990-07-01,44.5,Futuroscope,Futuroscope,Team Time Trial,Panasonic–Sportlife,,1990
577,3,1990-07-02,233.0,Poitiers,Nantes,Flat Stage,Moreno Argentin,ITA,1990
578,4,1990-07-03,203.0,Nantes,Mont Saint-Michel,Flat Stage,Johan Museeuw,BEL,1990
579,5,1990-07-04,301.0,Avranches,Rouen,Flat Stage,Gerrit Solleveld,NED,1990
580,6,1990-07-06,202.5,Sarrebourg,Vittel,Flat Stage,Jelle Nijdam,NED,1990
581,7,1990-07-07,61.5,Vittel,Épinal,Individual Time Trial,Raúl Alcalá,MEX,1990
582,8,1990-07-08,181.5,Épinal,Besançon,Flat Stage,Olaf Ludwig,GDR,1990
583,9,1990-07-09,196.0,Besançon,Geneva,Hilly Stage,Massimo Ghirotto,ITA,1990
584,10,1990-07-10,118.5,Geneva,Saint-Gervais,Mountain Stage,Thierry Claveyrolat,FRA,1990
585,11,1990-07-11,182.5,Saint-Gervais,Alpe d'Huez,Mountain Stage,Gianni Bugno,ITA,1990
586,12,1990-07-12,33.5,Fontaine,Villard-de-Lans,Individual Time Trial,Erik Breukink,NED,1990
587,13,1990-07-14,149.0,Villard-de-Lans,Saint-Étienne,Hilly Stage,Eduardo Chozas,ESP,1990
588,14,1990-07-15,205.0,Le Puy-en-Velay,Millau,Hilly Stage,Marino Lejarreta,ESP,1990
589,15,1990-07-16,170.0,Millau,Revel,Flat Stage,Charly Mottet,FRA,1990
590,16,1990-07-17,215.0,Blagnac,Luz Ardiden,Mountain Stage,Miguel Indurain,ESP,1990
591,17,1990-07-18,150.0,Lourdes,Pau,Mountain Stage,Dmitri Konychev,URS,1990
592,18,1990-07-19,202.0,Pau,Bordeaux,Flat Stage,Gianni Bugno,ITA,1990
593,19,1990-07-20,182.5,Castillon-la-Bataille,Limoges,Flat Stage,Guido Bontempi,ITA,1990
594,20,1990-07-21,45.5,Lac de Vassivière,Lac de Vassivière,Individual Time Trial,Erik Breukink,NED,1990
595,21,1990-07-22,182.5,Brétigny-sur-Orge,Paris,Flat Stage,Johan Museeuw,BEL,1990
596,P,1989-07-01,7.8,Luxembourg City,Luxembourg City,Individual Time Trial,Erik Breukink,NED,1989
597,1,1989-07-02,135.5,Luxembourg City,Luxembourg City,Flat Stage,Acácio da Silva,POR,1989
598,2,1989-07-02,46.0,Luxembourg City,Luxembourg City,Team Time Trial,Super U–Raleigh–Fiat,,1989
599,3,1989-07-03,241.0,Luxembourg City,Spa,Flat Stage,Raúl Alcalá,MEX,1989
600,4,1989-07-04,255.0,Liège,Wasquehal,Flat Stage,Jelle Nijdam,NED,1989
601,5,1989-07-06,73.0,Dinard,Rennes,Individual Time Trial,Greg LeMond,USA,1989
602,6,1989-07-07,259.0,Rennes,Futuroscope,Flat Stage,Joël Pelier,FRA,1989
603,7,1989-07-08,258.5,Poitiers,Bordeaux,Flat Stage,Etienne De Wilde,BEL,1989
604,8,1989-07-09,157.0,Labastide-d'Armagnac,Pau,Flat Stage,Martin Earley,IRE,1989
605,9,1989-07-10,147.0,Pau,Cauterets,Mountain Stage,Miguel Induráin,ESP,1989
606,10,1989-07-11,136.0,Cauterets,Superbagnères,Mountain Stage,Robert Millar,GBR,1989
607,11,1989-07-12,158.5,Luchon,Blagnac,Flat Stage,Mathieu Hermans,NED,1989
608,12,1989-07-13,242.0,Toulouse,Montpellier,Flat Stage,Valerio Tebaldi,ITA,1989
609,13,1989-07-14,179.0,Montpellier,Marseille,Flat Stage,Vincent Barteau,FRA,1989
610,14,1989-07-15,240.0,Marseille,Gap,Hilly Stage,Jelle Nijdam,NED,1989
611,15,1989-07-16,39.0,Gap,Orcières-Merlette,Individual Time Trial,Steven Rooks,NED,1989
612,16,1989-07-18,175.0,Gap,Briançon,Mountain Stage,Pascal Richard,SUI,1989
613,17,1989-07-19,165.0,Briançon,Alpe d'Huez,Mountain Stage,Gert-Jan Theunisse,NED,1989
614,18,1989-07-20,91.5,Le Bourg-d'Oisans,Villard-de-Lans,Mountain Stage,Laurent Fignon,FRA,1989
615,19,1989-07-21,125.0,Villard-de-Lans,Aix-les-Bains,Mountain Stage,Greg LeMond,USA,1989
616,20,1989-07-22,130.0,Aix-les-Bains,L'Isle-d'Abeau,Flat Stage,Giovanni Fidanza,ITA,1989
617,21,1989-07-23,24.5,Versailles,Paris,Individual Time Trial,Greg LeMond,USA,1989
618,P,1988-07-03,1.0,Pornichet,La Baule,Individual Time Trial,Guido Bontempi,ITA,1988
619,1,1988-07-04,92.0,Pontchâteau,Machecoul,Flat Stage,Steve Bauer,CAN,1988
620,2,1988-07-04,48.0,La Haie-Fouassière,Ancenis,Team Time Trial,Panasonic–Isostar–Colnago–Agu,,1988
621,3,1988-07-05,213.0,Nantes,Le Mans,Flat Stage,Jean-Paul van Poppel,NED,1988
622,4,1988-07-06,158.0,Le Mans,Évreux,Flat Stage,Acácio da Silva,POR,1988
623,5,1988-07-07,148.0,Neufchâtel-en-Bray,Liévin,Flat Stage,Jelle Nijdam,NED,1988
624,6,1988-07-08,52.0,Liévin,Wasquehal,Individual Time Trial,Sean Yates,GBR,1988
625,7,1988-07-09,225.0,Wasquehal,Reims,Flat Stage,Valerio Tebaldi,ITA,1988
626,8,1988-07-10,219.0,Reims,Nancy,Flat Stage,Rolf Gölz,GER,1988
627,9,1988-07-11,161.0,Nancy,Strasbourg,Hilly Stage,Jérôme Simon,FRA,1988
628,10,1988-07-12,149.0,Belfort,Besançon,Hilly Stage,Jean-Paul van Poppel,NED,1988
629,11,1988-07-13,232.0,Besançon,Morzine,Mountain Stage,Fabio Parra,COL,1988
630,12,1988-07-14,227.0,Morzine,Alpe d'Huez,Mountain Stage,Steven Rooks,NED,1988
631,13,1988-07-15,38.0,Grenoble,Villard-de-Lans,Individual Time Trial,Pedro Delgado,ESP,1988
632,14,1988-07-17,163.0,Blagnac,Guzet-Neige,Mountain Stage,Massimo Ghirotto,ITA,1988
633,15,1988-07-18,187.0,Saint-Girons,Luz Ardiden,Mountain Stage,Laudelino Cubino,ESP,1988
634,16,1988-07-19,35.0,Luz Ardiden,Pau,Flat Stage,Adrie van der Poel,NED,1988
635,17,1988-07-19,198.0,Pau,Bordeaux,Flat Stage,Jean-Paul van Poppel,NED,1988
636,18,1988-07-20,94.0,Ruelle-sur-Touvre,Limoges,Flat Stage,Gianni Bugno,ITA,1988
637,19,1988-07-21,188.0,Limoges,Puy de Dôme,Hilly Stage,Johnny Weltz,DEN,1988
638,20,1988-07-22,223.0,Clermont-Ferrand,Chalon-sur-Saône,Flat Stage,Thierry Marie,FRA,1988
639,21,1988-07-23,46.0,Santenay,Santenay,Individual Time Trial,Juan Martinéz,ESP,1988
640,22,1988-07-24,173.0,Nemours,Paris,Flat Stage,Jean-Paul van Poppel,NED,1988
641,P,1987-07-01,6.0,West Berlin,West Berlin,Individual Time Trial,Jelle Nijdam,NED,1987
642,1,1987-07-02,105.0,West Berlin,West Berlin,Flat Stage,Nico Verhoeven,NED,1987
643,2,1987-07-02,41.0,West Berlin,West Berlin,Team Time Trial,Carrera Jeans–Vagabond,,1987
644,3,1987-07-04,219.0,Karlsruhe,Stuttgart,Flat Stage,Acácio da Silva,POR,1987
645,4,1987-07-05,79.0,Stuttgart,Pforzheim,Flat Stage,Herman Frison,BEL,1987
646,5,1987-07-05,112.0,Pforzheim,Strasbourg,Flat Stage,Marc Sergeant,BEL,1987
647,6,1987-07-06,169.0,Strasbourg,Épinal,Flat Stage,Christophe Lavainne,FRA,1987
648,7,1987-07-07,211.0,Épinal,Troyes,Flat Stage,Manuel Jorge Domínguez[8],ESP,1987
649,8,1987-07-08,206.0,Troyes,Épinay-sous-Sénart,Flat Stage,Jean-Paul van Poppel,NED,1987
650,9,1987-07-09,260.0,Orléans,Renazé,Flat Stage,Adrie van der Poel,NED,1987
651,10,1987-07-10,87.0,Saumur,Futuroscope,Individual Time Trial,Stephen Roche,IRE,1987
652,11,1987-07-11,206.0,Poitiers,Chaumeil,Hilly Stage,Martial Gayant,FRA,1987
653,12,1987-07-12,228.0,Brive,Bordeaux,Flat Stage,Davis Phinney,USA,1987
654,13,1987-07-13,219.0,Bayonne,Pau,Mountain Stage,Erik Breukink,NED,1987
655,14,1987-07-14,166.0,Pau,Luz Ardiden,Mountain Stage,Dag Otto Lauritzen,NOR,1987
656,15,1987-07-15,164.0,Tarbes,Blagnac,Flat Stage,Rolf Gölz,GER,1987
657,16,1987-07-16,216.0,Blagnac,Millau,Hilly Stage,Régis Clère,FRA,1987
658,17,1987-07-17,239.0,Millau,Avignon,Hilly Stage,Jean-Paul van Poppel,NED,1987
659,18,1987-07-19,37.0,Carpentras,Mont Ventoux,Individual Time Trial,Jean-François Bernard,FRA,1987
660,19,1987-07-20,185.0,Valréas,Villard-de-Lans,Mountain Stage,Pedro Delgado,ESP,1987
661,20,1987-07-21,201.0,Villard-de-Lans,Alpe d'Huez,Mountain Stage,Federico Echave,ESP,1987
662,21,1987-07-22,185.0,Le Bourg-d'Oisans,La Plagne,Mountain Stage,Laurent Fignon,FRA,1987
663,22,1987-07-23,186.0,La Plagne,Morzine,Mountain Stage,Eduardo Chozas,ESP,1987
664,23,1987-07-24,225.0,Saint-Julien-en-Genevois,Dijon,Flat Stage,Régis Clère,FRA,1987
665,24,1987-07-25,38.0,Dijon,Dijon,Individual Time Trial,Jean-François Bernard,FRA,1987
666,25,1987-07-26,192.0,Créteil,Paris,Flat Stage,Jeff Pierce,USA,1987
667,P,1986-07-04,4.6,Boulogne-Billancourt,Boulogne-Billancourt,Individual Time Trial,Thierry Marie,FRA,1986
668,1,1986-07-05,85.0,Nanterre,Sceaux,Flat Stage,Pol Verschuere,BEL,1986
669,2,1986-07-05,56.0,Meudon,Saint-Quentin-en-Yvelines,Team Time Trial,Système U,,1986
670,3,1986-07-06,214.0,Levallois-Perret,Liévin,Flat Stage,Davis Phinney,USA,1986
671,4,1986-07-07,243.0,Liévin,Évreux,Flat Stage,Pello Ruiz Cabestany,ESP,1986
672,5,1986-07-08,124.5,Evreux,Villers-sur-Mer,Flat Stage,Johan van der Velde,NED,1986
673,6,1986-07-09,200.0,Villers-sur-Mer,Cherbourg,Flat Stage,Guido Bontempi,ITA,1986
674,7,1986-07-10,201.0,Cherbourg,Saint-Hilaire-du-Harcouët,Flat Stage,Ludo Peeters,BEL,1986
675,8,1986-07-11,204.0,Saint-Hilaire-du-Harcouët,Nantes,Flat Stage,Eddy Planckaert,BEL,1986
676,9,1986-07-12,61.5,Nantes,Nantes,Individual Time Trial,Bernard Hinault,FRA,1986
677,10,1986-07-13,183.0,Nantes,Futuroscope,Flat Stage,Jose-Angel Sarrapio,ESP,1986
678,11,1986-07-14,258.3,Futuroscope,Bordeaux,Flat Stage,Rudy Dhaenens,BEL,1986
679,12,1986-07-15,217.5,Bayonne,Pau,Mountain Stage,Pedro Delgado,ESP,1986
680,13,1986-07-16,186.0,Pau,Superbagnères,Mountain Stage,Greg LeMond,USA,1986
681,14,1986-07-17,154.0,Superbagnères,Blagnac,Flat Stage,Niki Rüttimann,SUI,1986
682,15,1986-07-18,225.5,Carcassonne,Nîmes,Flat Stage,Frank Hoste,BEL,1986
683,16,1986-07-19,246.5,Nîmes,Gap,Flat Stage,Jean-François Bernard,FRA,1986
684,17,1986-07-20,190.0,Gap,Serre Chevalier,Mountain Stage,Eduardo Chozas,ESP,1986
685,18,1986-07-21,162.5,Briançon,Alpe d'Huez,Mountain Stage,Bernard Hinault,FRA,1986
686,19,1986-07-23,179.5,Villard-de-Lans,Saint-Étienne,Flat Stage,Julián Gorospe,ESP,1986
687,20,1986-07-24,58.0,Saint-Étienne,Saint-Étienne,Individual Time Trial,Bernard Hinault,FRA,1986
688,21,1986-07-25,190.0,Saint-Étienne,Puy de Dôme,Flat Stage,Erich Mächler,SUI,1986
689,22,1986-07-26,194.0,Clermont-Ferrand,Nevers,Flat Stage,Guido Bontempi,ITA,1986
690,23,1986-07-27,255.0,Cosne-sur-Loire,Paris,Flat Stage,Guido Bontempi,ITA,1986
691,P,1985-06-28,6.0,Plumelec,Plumelec,Individual Time Trial,Bernard Hinault,FRA,1985
692,1,1985-06-29,256.0,Vannes,Lanester,Flat Stage,Rudy Matthijs,BEL,1985
693,2,1985-06-30,242.0,Lorient,Vitre,Flat Stage,Rudy Matthijs,BEL,1985
694,3,1985-07-01,73.0,Vitre,Fougères,Team Time Trial,La Vie Claire,,1985
695,4,1985-07-02,239.0,Fougères,Pont-Audemer,Flat Stage,Gerrit Solleveld,NED,1985
696,5,1985-07-03,224.0,Neufchâtel-en-Bray,Roubaix,Flat Stage,Henri Manders,NED,1985
697,6,1985-07-04,222.0,Roubaix,Reims,Flat Stage,Francis Castaing,FRA,1985
698,7,1985-07-05,217.0,Reims,Nancy,Flat Stage,Ludwig Wijnants,BEL,1985
699,8,1985-07-06,75.0,Sarrebourg,Strasbourg,Individual Time Trial,Bernard Hinault,FRA,1985
700,9,1985-07-07,174.0,Strasbourg,Épinal,Hilly Stage,Maarten Ducrot,NED,1985
701,10,1985-07-08,204.0,Épinal,Pontarlier,Hilly Stage,Jørgen V. Pedersen,DEN,1985
702,11,1985-07-09,195.0,Pontarlier,Morzine Avoriaz,Mountain Stage,Luis Herrera,COL,1985
703,12,1985-07-10,269.0,Morzine Avoriaz,Lans-en-Vercors,Mountain Stage,Fabio Parra,COL,1985
704,13,1985-07-11,32.0,Villard-de-Lans,Villard-de-Lans,Individual Time Trial,Eric Vanderaerden,BEL,1985
705,14,1985-07-13,179.0,Autrans,Saint-Étienne,Hilly Stage,Luis Herrera,COL,1985
706,15,1985-07-14,238.0,Saint-Étienne,Aurillac,Flat Stage,Eduardo Chozas,ESP,1985
707,16,1985-07-15,247.0,Aurillac,Toulouse,Flat Stage,Frédéric Vichot,FRA,1985
708,17,1985-07-16,209.0,Toulouse,Luz Ardiden,Mountain Stage,Pedro Delgado,ESP,1985
709,18a,1985-07-17,53.0,Luz-Saint-Sauveur,Aubisque,Mountain Stage,Stephen Roche,IRE,1985
710,18b,1985-07-17,83.0,Laruns,Pau,Mountain Stage,Régis Simon,FRA,1985
711,19,1985-07-18,203.0,Pau,Bordeaux,Flat Stage,Eric Vanderaerden,BEL,1985
712,20,1985-07-19,225.0,Montpon-Ménestérol,Limoges,Flat Stage,Johan Lammerts,NED,1985
713,21,1985-07-20,46.0,Lac de Vassivière,Lac de Vassivière,Individual Time Trial,Greg LeMond,USA,1985
714,22,1985-07-21,196.0,Orléans,Paris,Flat Stage,Rudy Matthijs,BEL,1985
715,P,1984-06-29,5.0,Montreuil,Noisy-le-Sec,Individual Time Trial,Bernard Hinault,FRA,1984
716,1,1984-06-30,149.0,Bondy,Saint-Denis,Flat Stage,Frank Hoste,BEL,1984
717,2,1984-07-01,249.0,Bobigny,Louvroil,Flat Stage,Marc Madiot,FRA,1984
718,3,1984-07-02,51.0,Louvroil,Valenciennes,Team Time Trial,Renault–Elf,,1984
719,4,1984-07-02,83.0,Valenciennes,Béthune,Flat Stage,Ferdi Van Den Haute,BEL,1984
720,5,1984-07-03,207.0,Béthune,Cergy-Pontoise,Flat Stage,Paulo Ferreira,POR,1984
721,6,1984-07-04,202.0,Cergy-Pontoise,Alençon,Flat Stage,Frank Hoste,BEL,1984
722,7,1984-07-05,67.0,Alençon,Le Mans,Individual Time Trial,Laurent Fignon,FRA,1984
723,8,1984-07-06,192.0,Le Mans,Nantes,Flat Stage,Pascal Jules,FRA,1984
724,9,1984-07-07,338.0,Nantes,Bordeaux,Flat Stage,Jan Raas,NED,1984
725,10,1984-07-08,198.0,Langon,Pau,Flat Stage,Eric Vanderaerden,BEL,1984
726,11,1984-07-09,227.0,Pau,Guzet-Neige,Mountain Stage,Robert Millar,GBR,1984
727,12,1984-07-10,111.0,Saint-Girons,Blagnac,Flat Stage,Pascal Poisson,FRA,1984
728,13,1984-07-11,220.0,Blagnac,Rodez,Flat Stage,Pierre-Henri Menthéour,FRA,1984
729,14,1984-07-12,228.0,Rodez,Domaine du Rouret,Hilly Stage,Fons De Wolf,BEL,1984
730,15,1984-07-13,241.0,Domaine du Rouret,Grenoble,Hilly Stage,Frédéric Vichot,FRA,1984
731,16,1984-07-15,22.0,Les Échelles,La Ruchère,Individual Time Trial,Laurent Fignon,FRA,1984
732,17,1984-07-16,151.0,Grenoble,Alpe d'Huez,Mountain Stage,Luis Herrera,COL,1984
733,18,1984-07-17,185.0,Le Bourg-d'Oisans,La Plagne,Mountain Stage,Laurent Fignon,FRA,1984
734,19,1984-07-18,186.0,La Plagne,Morzine,Mountain Stage,Ángel Arroyo,ESP,1984
735,20,1984-07-19,141.0,Morzine,Crans-Montana,Mountain Stage,Laurent Fignon,FRA,1984
736,21,1984-07-20,320.0,Crans-Montana,Villefranche-sur-Saône,Hilly Stage,Frank Hoste,BEL,1984
737,22,1984-07-21,51.0,Villié-Morgon,Villefranche-sur-Saône,Individual Time Trial,Laurent Fignon,FRA,1984
738,23,1984-07-22,197.0,Pantin,Paris,Hilly Stage,Eric Vanderaerden,BEL,1984
739,P,1983-07-01,6.0,Fontenay-sous-Bois,Fontenay-sous-Bois,Individual Time Trial,Eric Vanderaerden,BEL,1983
740,1,1983-07-02,163.0,Nogent-sur-Marne,Créteil,Flat Stage,Frits Pirard,NED,1983
741,2,1983-07-03,100.0,Soissons,Fontaine-au-Pire,Team Time Trial,COOP–Mercier–Mavic,,1983
742,3,1983-07-04,152.0,Valenciennes,Roubaix,Hilly Stage,Rudy Matthijs,BEL,1983
743,4,1983-07-05,300.0,Roubaix,Le Havre,Flat Stage,Serge Demierre,SUI,1983
744,5,1983-07-06,257.0,Le Havre,Le Mans,Flat Stage,Dominique Gaigne,FRA,1983
745,6,1983-07-07,58.0,Châteaubriant,Nantes,Individual Time Trial,Bert Oosterbosch,NED,1983
746,7,1983-07-08,216.0,Nantes,Île d'Oléron,Flat Stage,Riccardo Magrini,ITA,1983
747,8,1983-07-09,222.0,La Rochelle,Bordeaux,Flat Stage,Bert Oosterbosch,NED,1983
748,9,1983-07-10,207.0,Bordeaux,Pau,Flat Stage,Philippe Chevallier,FRA,1983
749,10,1983-07-11,201.0,Pau,Bagnères-de-Luchon,Mountain Stage,Robert Millar,GBR,1983
750,11,1983-07-12,177.0,Bagnères-de-Luchon,Fleurance,Flat Stage,Régis Clère,FRA,1983
751,12,1983-07-13,261.0,Fleurance,Roquefort-sur-Soulzon,Flat Stage,Kim Andersen,DEN,1983
752,13,1983-07-14,210.0,Roquefort-sur-Soulzon,Aurillac,Hilly Stage,Henk Lubberding,NED,1983
753,14,1983-07-15,149.0,Aurillac,Issoire,Hilly Stage,Pierre Le Bigaut,FRA,1983
754,15,1983-07-16,16.0,Clermont-Ferrand,Puy de Dôme,Individual Time Trial,Ángel Arroyo,ESP,1983
755,16,1983-07-17,144.0,Issoire,Saint-Étienne,Hilly Stage,Michel Laurent,FRA,1983
756,17,1983-07-18,223.0,La Tour-du-Pin,Alpe d'Huez,Mountain Stage,Peter Winnen,NED,1983
757,18,1983-07-20,247.0,Le Bourg-d'Oisans,Morzine,Mountain Stage,Jacques Michaud,FRA,1983
758,19,1983-07-21,15.0,Morzine,Avoriaz,Individual Time Trial,Lucien Van Impe,BEL,1983
759,20,1983-07-22,291.0,Morzine,Dijon,Flat Stage,Philippe Leleu,FRA,1983
760,21,1983-07-23,50.0,Dijon,Dijon,Individual Time Trial,Laurent Fignon,FRA,1983
761,22,1983-07-24,195.0,Alfortville,Paris,Flat Stage,Gilbert Glaus,SUI,1983
762,P,1982-07-02,7.0,Basel,Basel,Individual Time Trial,Bernard Hinault,FRA,1982
763,1,1982-07-03,207.0,Basel,Möhlin,Hilly Stage,Ludo Peeters,BEL,1982
764,2,1982-07-04,250.0,Basel,Nancy,Flat Stage,Phil Anderson,AUS,1982
765,3,1982-07-05,134.0,Nancy,Longwy,Flat Stage,Daniel Willems,BEL,1982
766,4,1982-07-06,219.0,Beauraing,Mouscron,Flat Stage,Gerrie Knetemann,NED,1982
767,5,1982-07-07,73.0,Orchies,Fontaine-au-Pire,Team Time Trial,Cancelled and replaced by stage 9a,,1982
768,6,1982-07-08,233.0,Lille,Lille,Flat Stage,Jan Raas,NED,1982
769,7,1982-07-10,235.0,Cancale,Concarneau,Flat Stage,Pol Verschuere,BEL,1982
770,8,1982-07-11,201.0,Concarneau,Châteaulin,Flat Stage,Frank Hoste,BEL,1982
771,9a,1982-07-12,69.0,Lorient,Plumelec,Team Time Trial,Renault–Elf–Gitane,,1982
772,9b,1982-07-12,138.0,Plumelec,Nantes,Flat Stage,Stefan Mutter,SUI,1982
773,10,1982-07-13,147.0,Saintes,Bordeaux,Flat Stage,Pierre-Raymond Villemiane,FRA,1982
774,11,1982-07-14,57.0,Valence d'Agen,Valence d'Agen,Individual Time Trial,Gerrie Knetemann,NED,1982
775,12,1982-07-15,249.0,Fleurance,Pau,Mountain Stage,Sean Kelly,IRE,1982
776,13,1982-07-16,122.0,Pau,Saint-Lary-Soulan Pla d'Adet,Mountain Stage,Beat Breu,SUI,1982
777,14,1982-07-18,33.0,Martigues,Martigues,Individual Time Trial,Bernard Hinault,FRA,1982
778,15,1982-07-19,208.0,Manosque,Orcières-Merlette,Mountain Stage,Pascal Simon,FRA,1982
779,16,1982-07-20,123.0,Orcières-Merlette,Alpe d'Huez,Mountain Stage,Beat Breu,SUI,1982
780,17,1982-07-21,251.0,Le Bourg-d'Oisans,Morzine,Mountain Stage,Peter Winnen,NED,1982
781,18,1982-07-22,233.0,Morzine,Saint-Priest,Flat Stage,Adrie van Houwelingen,NED,1982
782,19,1982-07-23,48.0,Saint-Priest,Saint-Priest,Individual Time Trial,Bernard Hinault,FRA,1982
783,20,1982-07-24,161.0,Sens,Aulnay-sous-Bois,Flat Stage,Daniel Willems,BEL,1982
784,21,1982-07-25,187.0,Fontenay-sous-Bois,Paris,Flat Stage,Bernard Hinault,FRA,1982
785,P,1981-06-25,6.0,Nice,Nice,Individual Time Trial,Bernard Hinault,FRA,1981
786,1a,1981-06-26,97.0,Nice,Nice,Hilly Stage,Freddy Maertens,BEL,1981
787,1b,1981-06-26,40.0,Nice,Nice,Team Time Trial,TI–Raleigh–Creda[11],,1981
788,2,1981-06-27,254.0,Nice,Martigues,Flat Stage,Johan van der Velde,NED,1981
789,3,1981-06-28,232.0,Martigues,Narbonne,Flat Stage,Freddy Maertens,BEL,1981
790,4,1981-06-29,77.0,Narbonne,Carcassonne,Team Time Trial,TI–Raleigh–Creda,,1981
791,5,1981-06-30,117.0,Saint-Gaudens,Pla d'Adet,Mountain Stage,Lucien Van Impe,BEL,1981
792,6,1981-07-01,27.0,Nay,Pau,Individual Time Trial,Bernard Hinault,FRA,1981
793,7,1981-07-02,227.0,Pau,Bordeaux,Flat Stage,Urs Freuler,SUI,1981
794,8,1981-07-03,182.0,Rochefort,Nantes,Flat Stage,Ad Wijnands,NED,1981
795,9,1981-07-05,197.0,Nantes,Le Mans,Flat Stage,René Martens,BEL,1981
796,10,1981-07-06,264.0,Le Mans,Aulnay-sous-Bois,Flat Stage,Ad Wijnands,NED,1981
797,11,1981-07-07,246.0,Compiègne,Roubaix,Flat Stage,Daniel Willems,BEL,1981
798,12a,1981-07-08,107.0,Roubaix,Brussels,Flat Stage,Freddy Maertens,BEL,1981
799,12b,1981-07-08,138.0,Brussels,Circuit Zolder,Flat Stage,Eddy Planckaert,BEL,1981
800,13,1981-07-09,157.0,Beringen,Hasselt,Flat Stage,Freddy Maertens,BEL,1981
801,14,1981-07-10,38.0,Mulhouse,Mulhouse,Individual Time Trial,Bernard Hinault,FRA,1981
802,15,1981-07-11,231.0,Besançon,Thonon-les-Bains,Hilly Stage,Sean Kelly,IRE,1981
803,16,1981-07-12,200.0,Thonon-les-Bains,Morzine,Mountain Stage,Robert Alban,FRA,1981
804,17,1981-07-14,230.0,Morzine,Alpe d'Huez,Mountain Stage,Peter Winnen,NED,1981
805,18,1981-07-15,134.0,Le Bourg-d'Oisans,Le Pleynet,Mountain Stage,Bernard Hinault,FRA,1981
